date,temp,prec
30/06/2025,16.1,0
1/7/25,21,0
2/7/25,19.3,1.6
3/7/25,14.4,0
4/7/25,14.2,3.7
5/7/25,14.8,9.5
6/7/25,16.6,0
7/7/25,15.2,0
8/7/25,14.8,1.5
9/7/25,15.5,0.3
10/7/25,15.5,0
11/7/25,18.1,0
12/7/25,18.7,0
13/07/2025,18.4,0.2
14/07/2025,19.9,0
15/07/2025,17.3,26.1
16/07/2025,16.3,13.9
17/07/2025,21.6,0.1
18/07/2025,21.5,1.7
19/07/2025,21.3,1.3
20/07/2025,22.1,0.4
21/07/2025,18.7,16.5
22/07/2025,18.5,24.6
23/07/2025,20.4,3.7
24/07/2025,21.3,2.4
25/07/2025,18.4,0
26/07/2025,18.4,1.2
27/07/2025,17.2,5.1
28/07/2025,16.7,0.2
29/07/2025,15.7,0
30/07/2025,16.7,1.1
31/07/2025,17.1,1.4
