"elapsed.time","group","mean","sd"
1,"Control",0,0
3,"Control",11.396,7.49531400276199
6,"Control",23.6115,8.77079922241981
10,"Control",37.6861666666667,16.4535495967689
17,"Control",200.3755,24.5486142786105
24,"Control",363.8535,47.095596298911
31,"Control",392.456666666667,44.5878346142009
1,"Acid treatment",0,0
3,"Acid treatment",5.12663333333333,5.8318645306054
6,"Acid treatment",6.10793333333333,7.58623624489334
10,"Acid treatment",14.7707333333333,11.0878265752731
17,"Acid treatment",170.4904,26.7944138782695
24,"Acid treatment",350.013566666667,29.1141196820947
31,"Acid treatment",395.03675,30.4787463682072
