DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           NH3                       NH3_30s                   NH3_5min                  H2O                       CO2                       NH3_raw                   NH3_dry                   nh3_base_11               
2025-06-24                12:33:02.454              174.52294508              4188.550682               175.52294508              1750768382.455            0                         899                       1.4004603610E+02          4.3792076111E+01          2.9500000000E+01          4.5004844666E+01          4.4906822205E+01          2.0000000000E+00          3.0000000000E+00          4.2998522270E+04          3.0000000000E+00          1.0160590032E+01          1.0693070823E+01          1.0693070823E+01          9.9500581266E-01          3.6385406133E+02          1.0160590032E+01          1.0160590032E+01          7.0498438071E+02          
2025-06-24                12:33:03.368              174.52295565              4188.550936               175.52295565              1750768383.368            0                         899                       1.4006260880E+02          4.3792076111E+01          2.9500000000E+01          4.5004844666E+01          4.4906822205E+01          2.0000000000E+00          3.0000000000E+00          4.3008396675E+04          3.0000000000E+00          1.0409781377E+01          1.0645855916E+01          1.0645855916E+01          9.9156982436E-01          3.7114214037E+02          1.0409781377E+01          1.0409781377E+01          7.0509340623E+02          
2025-06-24                12:33:04.283              174.52296625              4188.551190               175.52296625              1750768384.284            0                         899                       1.4007016215E+02          4.3793355527E+01          2.9500000000E+01          4.5005284683E+01          4.4907169342E+01          2.0000000000E+00          3.0000000000E+00          4.3017843198E+04          3.0000000000E+00          1.0357326334E+01          1.0604637404E+01          1.0604637404E+01          9.9127560521E-01          3.6026136862E+02          1.0357326334E+01          1.0357326334E+01          7.0498730339E+02          
2025-06-24                12:33:05.200              174.52297686              4188.551445               175.52297686              1750768385.201            0                         899                       1.4004925703E+02          4.3825706482E+01          2.9500000000E+01          4.5016410828E+01          4.4915946960E+01          2.0000000000E+00          3.0000000000E+00          4.3023981530E+04          3.0000000000E+00          1.0612537968E+01          1.0605624974E+01          1.0605624974E+01          9.9552535160E-01          3.6529484153E+02          1.0612537968E+01          1.0612537968E+01          7.0513825112E+02          
2025-06-24                12:33:06.105              174.52298733              4188.551696               175.52298733              1750768386.105            0                         899                       1.4006460969E+02          4.3825706482E+01          2.9500000000E+01          4.5016410828E+01          4.4915946960E+01          2.0000000000E+00          3.0000000000E+00          4.3035604832E+04          3.0000000000E+00          1.0525205484E+01          1.0596689476E+01          1.0596689476E+01          1.0020025098E+00          3.3525065640E+02          1.0525205484E+01          1.0525205484E+01          7.0503382798E+02          
2025-06-24                12:33:07.015              174.52299786              4188.551949               175.52299786              1750768387.015            0                         899                       1.4012947083E+02          4.3825706482E+01          2.9500000000E+01          4.5016410828E+01          4.4915946960E+01          2.0000000000E+00          3.0000000000E+00          4.3054296875E+04          3.0000000000E+00          1.0564194442E+01          1.0593439972E+01          1.0593439972E+01          1.0007689854E+00          3.3325055796E+02          1.0564194442E+01          1.0564194442E+01          7.0501424324E+02          
2025-06-24                12:33:07.918              174.52300832              4188.552200               175.52300832              1750768387.919            0                         899                       1.4004887871E+02          4.3825706482E+01          2.9500000000E+01          4.5016410828E+01          4.4915946960E+01          2.0000000000E+00          3.0000000000E+00          4.3054653511E+04          3.0000000000E+00          1.0302393962E+01          1.0566981244E+01          1.0566981244E+01          9.9869566660E-01          3.5159403940E+02          1.0302393962E+01          1.0302393962E+01          7.0498461718E+02          
2025-06-24                12:33:08.821              174.52301876              4188.552450               175.52301876              1750768388.821            0                         899                       1.4007533447E+02          4.3825706482E+01          2.9500000000E+01          4.5016410828E+01          4.4915946960E+01          2.0000000000E+00          3.0000000000E+00          4.3067694952E+04          3.0000000000E+00          1.0193630738E+01          1.0535868702E+01          1.0535868702E+01          1.0029064796E+00          3.3439027246E+02          1.0193630738E+01          1.0193630738E+01          7.0510748968E+02          
2025-06-24                12:33:09.729              174.52302927              4188.552703               175.52302927              1750768389.729            0                         899                       1.4008181564E+02          4.3834264672E+01          2.9500000000E+01          4.5019396243E+01          4.4918184032E+01          2.0000000000E+00          3.0000000000E+00          4.3073059783E+04          3.0000000000E+00          1.0200188661E+01          1.0510047160E+01          1.0510047160E+01          9.9853652006E-01          3.5212426989E+02          1.0200188661E+01          1.0200188661E+01          7.0508318019E+02          
2025-06-24                12:33:10.640              174.52303981              4188.552956               175.52303981              1750768390.640            0                         899                       1.4001423645E+02          4.3858512878E+01          2.9500000000E+01          4.5027854919E+01          4.4924522400E+01          2.0000000000E+00          3.0000000000E+00          4.3060589844E+04          3.0000000000E+00          1.0117292339E+01          1.0481993244E+01          1.0481993244E+01          9.9651047435E-01          3.7415550984E+02          1.0117292339E+01          1.0117292339E+01          7.0504222611E+02          
