"elapsed.time","NH3.bg","id","NH3.DFC","date.time","days","treatment","group","date.time.weather","date","time","temp","NH3_corr","air.temp.K","air.flow","dfc.area","ppm","n","NH3.flux","NH3.flux.hour","totaltan","tanloss","tanloss.per","cum.hour","cum.tan.per"
0,9.7451364261,3,9.324281267,2025-06-30 03:00:00,0,"acid","acid treatment",2025-06-30 08:00:00,2025-06-30,3,11.3,-0.4208551591,284.45,2250,0.38465,-0.0004208551591,-1.8030563231833e-11,-0.00147727688169364,-0.0886366129016186,6068.45257438191,-1.46061309395083e-05,-0.00146061309395083,0,0
0,9.7451364261,6,10.897806997,2025-06-30 03:00:00,0,"acid","acid treatment",2025-06-30 08:00:00,2025-06-30,3,11.3,1.1526705709,284.45,2250,0.38465,0.0011526705709,4.93834973023276e-11,0.00404607986804927,0.242764792082956,6068.45257438191,4.00043980087762e-05,0.00400043980087762,0,0
0,9.7451364261,9,11.368168061,2025-06-30 03:00:00,0,"acid","acid treatment",2025-06-30 08:00:00,2025-06-30,3,11.3,1.6230316349,284.45,2250,0.38465,0.0016230316349,6.95350262140336e-11,0.00569713133046207,0.341827879827724,6068.45257438191,5.63286728598255e-05,0.00563286728598255,0,0
1,25.648638631,3,19.19907509,2025-06-30 04:00:00,0.0416666666666667,"acid","acid treatment",2025-06-30 09:00:00,2025-06-30,4,11.2,-6.449563541,284.35,2250,0.38465,-0.006449563541,-2.76413766711404e-10,-0.0226470832937538,-1.35882499762523,6068.45257438191,-0.000223916225919196,-0.0223916225919196,-0.723730805263423,-0.0119261178429352
1,25.648638631,6,27.661876914,2025-06-30 04:00:00,0.0416666666666667,"acid","acid treatment",2025-06-30 09:00:00,2025-06-30,4,11.2,2.013238283,284.35,2250,0.38465,0.002013238283,8.62828582979347e-11,0.00706931171317765,0.424158702790659,6068.45257438191,6.98956937689937e-05,0.00698956937689937,0.333461747436808,0.0054950045888885
1,25.648638631,9,25.658613409,2025-06-30 05:00:00,0.0416666666666667,"acid","acid treatment",2025-06-30 10:00:00,2025-06-30,5,11.8,0.00997477800000013,284.95,2250,0.38465,9.97477800000013e-06,4.26596367826012e-13,3.49518173060298e-05,0.00209710903836179,6068.45257438191,3.45575583339775e-07,3.45575583339775e-05,0.171962494433043,0.00283371242215826
2,31.37550872,3,28.585372891,2025-06-30 05:00:00,0.0833333333333333,"acid","acid treatment",2025-06-30 10:00:00,2025-06-30,5,11.8,-2.790135829,284.95,2250,0.38465,-0.002790135829,-1.19327147971875e-10,-0.00977669054431233,-0.58660143265874,6068.45257438191,-9.66640878327186e-05,-0.00966640878327186,-1.69644402040541,-0.027955133530531
2,31.37550872,6,34.2396802,2025-06-30 05:00:00,0.0833333333333333,"acid","acid treatment",2025-06-30 10:00:00,2025-06-30,5,11.8,2.86417148,284.95,2250,0.38465,0.00286417148,1.22493468044987e-10,0.0100361129142022,0.60216677485213,6068.45257438191,9.92290485047522e-05,0.00992290485047522,0.846624486258203,0.0139512417025758
2,31.37550872,9,33.965983278,2025-06-30 06:00:00,0.0833333333333333,"acid","acid treatment",2025-06-30 11:00:00,2025-06-30,6,13.2,2.590474558,286.35,2250,0.38465,0.002590474558,1.10246476900934e-10,0.00903269462633227,0.541961677579936,6068.45257438191,8.93080519188431e-05,0.00893080519188431,0.443991887742192,0.0073163937972674
4,34.5306089123333,3,31.350373392,2025-06-30 06:00:00,0.166666666666667,"acid","acid treatment",2025-06-30 11:00:00,2025-06-30,6,13.2,-3.18023552033333,286.35,2250,0.38465,-0.00318023552033333,-1.35345765411666e-10,-0.0110891250432369,-0.665347502594214,6068.45257438191,-0.000109640389281939,-0.0109640389281939,-2.94839295565836,-0.0485855812419967
4,34.5306089123333,6,41.386941418,2025-06-30 07:00:00,0.166666666666667,"acid","acid treatment",2025-06-30 12:00:00,2025-06-30,7,13.7,6.85633250566666,286.85,2250,0.38465,0.00685633250566666,2.91285987278797e-10,0.023865591409178,1.43193548455068,6068.45257438191,0.000235963858495925,0.0235963858495925,2.88072674566102,0.0474705324026435
4,34.5306089123333,9,40.064101688,2025-06-30 07:00:00,0.166666666666667,"acid","acid treatment",2025-06-30 12:00:00,2025-06-30,7,13.7,5.53349277566667,286.85,2250,0.38465,0.00553349277566667,2.35086163765833e-10,0.0192610375212336,1.15566225127402,6068.45257438191,0.000190437716552761,0.0190437716552761,2.14161581659614,0.0352909706444278
5,38.0226766153333,3,34.895125969,2025-06-30 07:00:00,0.208333333333333,"acid","acid treatment",2025-06-30 12:00:00,2025-06-30,7,13.7,-3.12755064633333,286.85,2250,0.38465,-0.00312755064633333,-1.32871571941516e-10,-0.0108864098663845,-0.653184591983067,6068.45257438191,-0.000107636103928784,-0.0107636103928784,-3.607659002947,-0.0594494059025328
5,38.0226766153333,6,49.566383278,2025-06-30 08:00:00,0.208333333333333,"acid","acid treatment",2025-06-30 13:00:00,2025-06-30,8,14.6,11.5437066626667,287.75,2250,0.38465,0.0115437066626667,4.8889154442291e-10,0.0400557745726084,2.40334647435651,6068.45257438191,0.000396039426014843,0.0396039426014843,4.79836772511461,0.0790706966281819
5,38.0226766153333,9,45.426642008,2025-06-30 08:00:00,0.208333333333333,"acid","acid treatment",2025-06-30 13:00:00,2025-06-30,8,14.6,7.40396539266667,287.75,2250,0.38465,0.00740396539266667,3.13567918992703e-10,0.0256911906529285,1.54147143917571,6068.45257438191,0.000254013922047123,0.0254013922047123,3.49018266182101,0.0575135525744221
6,37.9205630623333,3,36.45327465,2025-06-30 09:00:00,0.25,"acid","acid treatment",2025-06-30 14:00:00,2025-06-30,9,16.1,-1.46728841233334,289.25,2250,0.38465,-0.00146728841233334,-6.18193872620772e-11,-0.00506497497989967,-0.30389849879398,6068.45257438191,-5.00784170377954e-05,-0.00500784170377954,-4.08620054833553,-0.0673351319508618
6,37.9205630623333,6,52.661560191,2025-06-30 09:00:00,0.25,"acid","acid treatment",2025-06-30 14:00:00,2025-06-30,9,16.1,14.7409971286667,289.25,2250,0.38465,0.0147409971286667,6.21063590815837e-10,0.0508848710368658,3.05309226221195,6068.45257438191,0.000503108860914665,0.0503108860914665,7.52658709339884,0.124028110974657
6,37.9205630623333,9,51.898750414,2025-06-30 09:00:00,0.25,"acid","acid treatment",2025-06-30 14:00:00,2025-06-30,9,16.1,13.9781873516667,289.25,2250,0.38465,0.0139781873516667,5.88925101466854e-10,0.0482517060759405,2.89510236455643,6068.45257438191,0.000477074234175968,0.0477074234175968,5.70846956368707,0.0940679603855766
7,35.6286281513333,3,41.474853518,2025-06-30 10:00:00,0.291666666666667,"acid","acid treatment",2025-06-30 15:00:00,2025-06-30,10,17.3,5.84622536666667,290.45,2250,0.38465,0.00584622536666667,2.45293899948973e-10,0.0200973759363952,1.20584255618371,6068.45257438191,0.000198706761139437,0.0198706761139437,-3.63522851964066,-0.0599037147457797
