"elapsed.time","group","mean","sd"
0,"acid treatment",0,0
1,"acid treatment",-0.00119913361062949,0.00938465566972368
2,"acid treatment",-0.00222916601022926,0.0225249718162611
4,"acid treatment",0.0113919739350249,0.0522978563128074
5,"acid treatment",0.025711614433357,0.0745350733106638
6,"acid treatment",0.0502536464697907,0.102930769275645
7,"acid treatment",0.0874831581740574,0.128270766452468
8,"acid treatment",0.131865354768092,0.147570365004007
10,"acid treatment",0.219894073351264,0.182248837531165
11,"acid treatment",0.260796356727232,0.194081055322895
12,"acid treatment",0.28745265880481,0.194369552799051
13,"acid treatment",0.293492305387795,0.18818793979383
14,"acid treatment",0.290019112635999,0.185381897750989
16,"acid treatment",0.2785109303948,0.186169715316137
17,"acid treatment",0.270496591223216,0.187196383623564
18,"acid treatment",0.261524522592091,0.188852404290241
19,"acid treatment",0.251404462877134,0.19043910153409
20,"acid treatment",0.236577957432671,0.197357335940667
22,"acid treatment",0.216277033731772,0.22878370394182
23,"acid treatment",0.228409249959,0.247804104232084
24,"acid treatment",0.266915784888315,0.261549764351214
25,"acid treatment",0.31879419313969,0.275567344990915
26,"acid treatment",0.380848364787889,0.297767660683649
28,"acid treatment",0.558304810496939,0.36598710219318
29,"acid treatment",0.674926902166633,0.402693200204792
30,"acid treatment",0.809396744109036,0.432880931679103
31,"acid treatment",0.947886133362813,0.462301828381541
32,"acid treatment",1.07966003811202,0.473344646165262
34,"acid treatment",1.32519917838699,0.480032560828195
35,"acid treatment",1.43007383745165,0.48804044660907
36,"acid treatment",1.50251481358766,0.485427652114085
37,"acid treatment",1.54362365802233,0.482576788785169
38,"acid treatment",1.57267160797038,0.489537519031064
40,"acid treatment",1.62357403215957,0.512048733053505
41,"acid treatment",1.64656634496055,0.522783556081168
42,"acid treatment",1.66788559175148,0.532080187900021
43,"acid treatment",1.68648855082234,0.540462203750071
44,"acid treatment",1.70239005846294,0.549312699530057
46,"acid treatment",1.74524698585912,0.592004749891733
47,"acid treatment",1.77451684676077,0.613168382878074
48,"acid treatment",1.80477059172941,0.634532271380906
49,"acid treatment",1.84957072431431,0.66452859930779
50,"acid treatment",1.92439205314146,0.693598542051247
52,"acid treatment",2.09495816523814,0.737773615832358
53,"acid treatment",2.16976546841988,0.758077488848817
54,"acid treatment",2.24315407312678,0.790927726748773
55,"acid treatment",2.32776891259583,0.833945680926664
56,"acid treatment",2.39846382961794,0.850309989906988
58,"acid treatment",2.48148921063011,0.839719274713478
59,"acid treatment",2.50759931058901,0.840796767893951
60,"acid treatment",2.52138516652203,0.83772989847831
61,"acid treatment",2.52822960288672,0.837188503521857
62,"acid treatment",2.53297027119348,0.837761715733705
64,"acid treatment",2.54170535796525,0.840962163130143
65,"acid treatment",2.54584457149632,0.842604190663593
66,"acid treatment",2.54943914864601,0.842950974681942
67,"acid treatment",2.5519809006306,0.842766444475259
68,"acid treatment",2.55442691613502,0.845066431195138
70,"acid treatment",2.56803002266949,0.864036667311618
71,"acid treatment",2.58354855224437,0.878326955260985
72,"acid treatment",2.60772569252038,0.890483752829568
73,"acid treatment",2.63744177614912,0.902821595498411
74,"acid treatment",2.67038739397548,0.922176478274894
76,"acid treatment",2.74742456224402,0.967069015394877
77,"acid treatment",2.79018007910288,0.988921602195667
78,"acid treatment",2.83234350712554,1.01263359720659
79,"acid treatment",2.87503656749645,1.03616984535172
80,"acid treatment",2.91421562024407,1.05579562530658
82,"acid treatment",2.98053686298802,1.08470761878708
83,"acid treatment",3.00981169608602,1.09568045277645
84,"acid treatment",3.03035709759951,1.10160418353729
85,"acid treatment",3.04163286567198,1.10381918484053
86,"acid treatment",3.04781613025016,1.10569890971249
88,"acid treatment",3.05533132913561,1.10884660044378
89,"acid treatment",3.05796159066914,1.11046171497854
90,"acid treatment",3.06004033029078,1.1122209219271
91,"acid treatment",3.06201575281884,1.11418497925476
92,"acid treatment",3.06438281560546,1.11909105715891
94,"acid treatment",3.08533262897788,1.16082171098317
95,"acid treatment",3.10955003792256,1.19084331464294
96,"acid treatment",3.14588042761289,1.21545387309779
97,"acid treatment",3.18777588407958,1.23517435327922
98,"acid treatment",3.23637281334961,1.24350044913761
100,"acid treatment",3.34213015206894,1.2699611842721
101,"acid treatment",3.39927573670677,1.29647436343193
102,"acid treatment",3.4495703186495,1.31081646052208
103,"acid treatment",3.48155816437639,1.31032724895577
104,"acid treatment",3.50502243526248,1.30781637993127
106,"acid treatment",3.5378698490244,1.30654580598483
107,"acid treatment",3.55224303497472,1.30986116942909
108,"acid treatment",3.56596925898637,1.31333904936415
109,"acid treatment",3.57747532718584,1.31682222903676
110,"acid treatment",3.58839210538116,1.32265168285477
112,"acid treatment",3.61141269734302,1.33711053947237
113,"acid treatment",3.62410460193562,1.34590244342514
114,"acid treatment",3.63764269888622,1.35565712185348
115,"acid treatment",3.64873147943926,1.36237510678197
116,"acid treatment",3.65761253551236,1.36688088005496
118,"acid treatment",3.67809634777433,1.38138392470609
119,"acid treatment",3.69103210593639,1.39395679203409
120,"acid treatment",3.70846714390983,1.41214223049611
0,"control",0,0
1,"control",0.550923127935476,0.107106045148873
2,"control",1.73044486931701,0.247988914189231
4,"control",4.22971237556383,0.356762471722063
5,"control",5.40449265288455,0.39510371404419
6,"control",6.48238875121735,0.42878449899902
7,"control",7.4973701690154,0.440414299811648
8,"control",8.45412478887972,0.461444599353254
10,"control",10.275895203677,0.563885979269927
11,"control",11.1557686847841,0.627533724352368
12,"control",11.9680605075506,0.717995796303257
13,"control",12.6064652142294,0.822406921825631
14,"control",13.0698002042938,0.882163924694703
16,"control",13.8319698945137,0.923555539526112
17,"control",14.1877948763068,0.940026902978221
18,"control",14.5223535662288,0.949811689178926
19,"control",14.8485389346191,0.946529990930196
20,"control",15.2190277465388,0.926470896051528
22,"control",16.138072745936,0.937543923920519
23,"control",16.6758652585963,0.976553456843069
24,"control",17.2199001094591,1.00785324797226
25,"control",17.7351250196225,1.03311759114354
26,"control",18.2108507458284,1.06454644727054
28,"control",19.0979328383889,1.06589465314856
29,"control",19.5043926460564,1.03779700662402
30,"control",19.8676047114687,1.01955165284333
31,"control",20.1915823791697,1.00568714076883
32,"control",20.4807641842822,1.00101996346657
34,"control",20.9820867265652,1.0016988081635
35,"control",21.1952844179323,1.01026803774092
36,"control",21.3704368466909,1.02600424286198
37,"control",21.5024668126122,1.0317623977178
38,"control",21.6188178508414,1.02619940003437
40,"control",21.8394840468654,1.01165938285572
41,"control",21.9405051371748,1.00872455415085
42,"control",22.0313703738582,1.00728353937628
43,"control",22.1103791728037,1.00466925838566
44,"control",22.1775631265946,1.00102097604226
46,"control",22.3167492765039,0.979471490817767
47,"control",22.4087666810281,0.973356439294372
48,"control",22.4911472222199,0.969035403951765
49,"control",22.584964900895,0.957636578288209
50,"control",22.7088986894751,0.943050874030927
52,"control",22.9335885323829,0.933815483039758
53,"control",23.0250920940153,0.943279774042086
54,"control",23.1094361411817,0.929980322379958
55,"control",23.1894812276601,0.9095893095599
56,"control",23.2564683525587,0.921881113877056
58,"control",23.3562302616074,0.959977198188752
59,"control",23.387778637337,0.968191197288012
60,"control",23.410039718308,0.973768757238473
61,"control",23.4236246989164,0.974296358180331
62,"control",23.434846723968,0.973683456723139
64,"control",23.4581370087442,0.971835795394514
65,"control",23.4702067747795,0.971984113805348
66,"control",23.4820561520445,0.973147572635688
67,"control",23.4923036089571,0.9744669150636
68,"control",23.5013745964238,0.974285825688574
70,"control",23.5312516259682,0.972842380508671
71,"control",23.5666321330904,0.978495627282936
72,"control",23.6212131392386,0.989874437697171
73,"control",23.6814143559501,1.00062689001191
74,"control",23.740124378307,1.00453115873846
76,"control",23.855778314918,1.00441359190224
77,"control",23.911042259787,1.0051159013503
78,"control",23.9587679682875,1.00763038461513
79,"control",24.0054722900664,1.01415672406679
80,"control",24.0500324322853,1.02181770136628
82,"control",24.1279729709075,1.03493741200231
83,"control",24.1619364523855,1.03888667394706
84,"control",24.187260183376,1.04210620973133
85,"control",24.2041150534873,1.04471252501156
86,"control",24.2152589356384,1.045618139297
88,"control",24.2310404213265,1.0446732858681
89,"control",24.2370798321385,1.04355763217985
90,"control",24.242204395447,1.04275124042252
91,"control",24.2472880591041,1.04157903579837
92,"control",24.2536559388574,1.0378822173349
94,"control",24.2813148183696,1.03163940629955
95,"control",24.3249427960822,1.04066111500671
96,"control",24.391567108007,1.05358392312325
97,"control",24.4527119752012,1.0616069942073
98,"control",24.511760654044,1.06337578536489
100,"control",24.6187566700194,1.04482736372616
101,"control",24.6668075856257,1.0375748451636
102,"control",24.7105122764651,1.03713530523343
103,"control",24.7425684211419,1.04007555671852
104,"control",24.7657553235307,1.04458094518403
106,"control",24.7970663952092,1.04966534513059
107,"control",24.8097460344305,1.05013522259517
108,"control",24.8222587258574,1.04986090519127
109,"control",24.8333205700751,1.04921232102597
110,"control",24.8430670282919,1.04827057151375
112,"control",24.8624862530677,1.0467073082174
113,"control",24.8723778873788,1.04575067636368
114,"control",24.8829429617915,1.04488076004834
115,"control",24.893047493978,1.04497983769316
116,"control",24.9014113055124,1.04498184308198
118,"control",24.9169302535941,1.04083657206189
119,"control",24.9285728354792,1.03097687905793
120,"control",24.9455776793086,1.01630595471804
