,,,,,,(mg NH3-N/m2/min),,%/h,(mg/m2),Fraction of applied TAN,%
elapsed.time,rep,date.time,treatment,group,date,NH3.flux.hour,tanloss,tanloss.per,cum,cum.tan,cum.tan.per
0,1,6/30/25 3:00,Acid treatment,acid treatment,6/30/25,-0.088636613,-1.46E-05,-0.001460613,0,0,0
0,2,6/30/25 3:00,Acid treatment,acid treatment,6/30/25,0.242764792,4.00E-05,0.00400044,0,0,0
0,3,6/30/25 3:00,Acid treatment,acid treatment,6/30/25,0.34182788,5.63E-05,0.005632867,0,0,0
1,1,6/30/25 4:00,Acid treatment,acid treatment,6/30/25,-1.358824998,-0.000223916,-0.022391623,-0.723730805,-0.000119261,-0.011926118
1,2,6/30/25 4:00,Acid treatment,acid treatment,6/30/25,0.424158703,6.99E-05,0.006989569,0.333461747,5.50E-05,0.005495005
1,3,6/30/25 5:00,Acid treatment,acid treatment,6/30/25,0.002097109,3.46E-07,3.46E-05,0.171962494,2.83E-05,0.002833712
2,1,6/30/25 5:00,Acid treatment,acid treatment,6/30/25,-0.586601433,-9.67E-05,-0.009666409,-1.69644402,-0.000279551,-0.027955134
2,2,6/30/25 5:00,Acid treatment,acid treatment,6/30/25,0.602166775,9.92E-05,0.009922905,0.846624486,0.000139512,0.013951242
2,3,6/30/25 6:00,Acid treatment,acid treatment,6/30/25,0.541961678,8.93E-05,0.008930805,0.443991888,7.32E-05,0.007316394
4,1,6/30/25 6:00,Acid treatment,acid treatment,6/30/25,-0.665347503,-0.00010964,-0.010964039,-2.948392956,-0.000485856,-0.048585581
4,2,6/30/25 7:00,Acid treatment,acid treatment,6/30/25,1.431935485,0.000235964,0.023596386,2.880726746,0.000474705,0.047470532
4,3,6/30/25 7:00,Acid treatment,acid treatment,6/30/25,1.155662251,0.000190438,0.019043772,2.141615817,0.00035291,0.035290971
5,1,6/30/25 7:00,Acid treatment,acid treatment,6/30/25,-0.653184592,-0.000107636,-0.01076361,-3.607659003,-0.000594494,-0.059449406
5,2,6/30/25 8:00,Acid treatment,acid treatment,6/30/25,2.403346474,0.000396039,0.039603943,4.798367725,0.000790707,0.079070697
5,3,6/30/25 8:00,Acid treatment,acid treatment,6/30/25,1.541471439,0.000254014,0.025401392,3.490182662,0.000575136,0.057513553
6,1,6/30/25 9:00,Acid treatment,acid treatment,6/30/25,-0.303898499,-5.01E-05,-0.005007842,-4.086200548,-0.000673351,-0.067335132
6,2,6/30/25 9:00,Acid treatment,acid treatment,6/30/25,3.053092262,0.000503109,0.050310886,7.526587093,0.001240281,0.124028111
6,3,6/30/25 9:00,Acid treatment,acid treatment,6/30/25,2.895102365,0.000477074,0.047707423,5.708469564,0.00094068,0.09406796
7,1,6/30/25 10:00,Acid treatment,acid treatment,6/30/25,1.205842556,0.000198707,0.019870676,-3.63522852,-0.000599037,-0.059903715
7,2,6/30/25 10:00,Acid treatment,acid treatment,6/30/25,2.996644976,0.000493807,0.04938071,10.55145571,0.001738739,0.173873909
7,3,6/30/25 11:00,Acid treatment,acid treatment,6/30/25,3.708747908,0.000611152,0.061115216,9.0103947,0.001484793,0.14847928
8,1,6/30/25 11:00,Acid treatment,acid treatment,6/30/25,1.406730238,0.00023181,0.023181037,-2.328942122,-0.000383779,-0.038377858
8,2,6/30/25 11:00,Acid treatment,acid treatment,6/30/25,3.003060685,0.000494864,0.049486432,13.55130854,0.002233075,0.22330748
8,3,6/30/25 12:00,Acid treatment,acid treatment,6/30/25,3.838848946,0.000632591,0.063259108,12.78419313,0.002106664,0.210666442
