,,,,,,(mg NH3-N/m2/min),,%/h,(mg/m2),Fraction of applied TAN,%
10,1,6/30/25 12:00,Acid treatment,acid treatment,6/30/25,1.511099646,0.000249009,0.024900906,0.588887761,9.70E-05,0.009704084
10,2,6/30/25 13:00,Acid treatment,acid treatment,6/30/25,2.62545644,0.00043264,0.043264018,19.17982567,0.003160579,0.316057931
10,3,6/30/25 13:00,Acid treatment,acid treatment,6/30/25,3.640747161,0.000599947,0.059994655,20.26378924,0.003339202,0.333920204
11,1,6/30/25 13:00,Acid treatment,acid treatment,6/30/25,1.832529953,0.000301976,0.030197648,2.26070256,0.000372534,0.037253361
11,2,6/30/25 14:00,Acid treatment,acid treatment,6/30/25,2.565200103,0.000422711,0.042271074,21.77515394,0.003588255,0.358825478
11,3,6/30/25 14:00,Acid treatment,acid treatment,6/30/25,2.717780709,0.000447854,0.044785399,23.44305317,0.003863102,0.386310231
12,1,6/30/25 15:00,Acid treatment,acid treatment,6/30/25,1.345763468,0.000221764,0.022176386,3.84984927,0.000634404,0.063440378
12,2,6/30/25 15:00,Acid treatment,acid treatment,6/30/25,0.913053094,0.000150459,0.015045897,23.51428054,0.00387484,0.387483963
12,3,6/30/25 15:00,Acid treatment,acid treatment,6/30/25,0.331422973,5.46E-05,0.005461408,24.96765501,0.004114336,0.411433635
13,1,6/30/25 16:00,Acid treatment,acid treatment,6/30/25,0.232054781,3.82E-05,0.003823953,4.638758395,0.000764405,0.076440548
13,2,6/30/25 16:00,Acid treatment,acid treatment,6/30/25,-0.242054787,-3.99E-05,-0.00398874,23.84977969,0.003930125,0.393012541
13,3,6/30/25 17:00,Acid treatment,acid treatment,6/30/25,-0.381160996,-6.28E-05,-0.006281025,24.942786,0.004110238,0.411023827
14,1,6/30/25 17:00,Acid treatment,acid treatment,6/30/25,-0.261598855,-4.31E-05,-0.0043108,4.623986357,0.000761971,0.076197124
14,2,6/30/25 17:00,Acid treatment,acid treatment,6/30/25,-0.344477679,-5.68E-05,-0.005676532,23.55651346,0.003881799,0.388179905
14,3,6/30/25 18:00,Acid treatment,acid treatment,6/30/25,-0.267376793,-4.41E-05,-0.004406013,24.6185171,0.004056803,0.405680308
16,1,6/30/25 18:00,Acid treatment,acid treatment,6/30/25,-0.488947746,-8.06E-05,-0.008057206,3.873439756,0.000638291,0.063829118
16,2,6/30/25 19:00,Acid treatment,acid treatment,6/30/25,-0.381870915,-6.29E-05,-0.006292723,22.83016486,0.003762106,0.37621065
16,3,6/30/25 19:00,Acid treatment,acid treatment,6/30/25,-0.350833757,-5.78E-05,-0.005781272,24.00030655,0.00395493,0.395493023
17,1,6/30/25 19:00,Acid treatment,acid treatment,6/30/25,-0.626155666,-0.000103182,-0.01031821,3.315888051,0.000546414,0.05464141
17,2,6/30/25 20:00,Acid treatment,acid treatment,6/30/25,-0.547231714,-9.02E-05,-0.009017648,22.36561355,0.003685555,0.368555464
17,3,6/30/25 20:00,Acid treatment,acid treatment,6/30/25,-0.523038434,-8.62E-05,-0.008618975,23.56337046,0.003882929,0.3882929
18,1,6/30/25 21:00,Acid treatment,acid treatment,6/30/25,-0.692956685,-0.00011419,-0.011419001,2.656331875,0.000437728,0.043772804
18,2,6/30/25 21:00,Acid treatment,acid treatment,6/30/25,-0.462839192,-7.63E-05,-0.007626972,21.8605781,0.003602332,0.360233154
18,3,6/30/25 21:00,Acid treatment,acid treatment,6/30/25,-0.414572689,-6.83E-05,-0.006831605,23.0945649,0.003805676,0.38056761
19,1,6/30/25 22:00,Acid treatment,acid treatment,6/30/25,-0.757569878,-0.000124837,-0.012483741,1.931068593,0.000318214,0.031821433
19,2,6/30/25 22:00,Acid treatment,acid treatment,6/30/25,-0.661128073,-0.000108945,-0.010894508,21.29859447,0.003509724,0.350972414
19,3,6/30/25 23:00,Acid treatment,acid treatment,6/30/25,-0.695719629,-0.000114645,-0.011464531,22.53941874,0.003714195,0.371419542
20,1,6/30/25 23:00,Acid treatment,acid treatment,6/30/25,-1.974136936,-0.000325311,-0.032531142,0.565215186,9.31E-05,0.009313992
20,2,6/30/25 23:00,Acid treatment,acid treatment,6/30/25,-1.203714774,-0.000198356,-0.019835613,20.36617304,0.003356074,0.335607353
20,3,7/1/25,Acid treatment,acid treatment,7/1/25,-0.106167418,-1.75E-05,-0.001749497,22.13847522,0.003648125,0.364812527
22,1,7/1/25,Acid treatment,acid treatment,7/1/25,-1.230089201,-0.000202702,-0.020270228,-2.63901095,-0.000434874,-0.043487379
22,2,7/1/25 1:00,Acid treatment,acid treatment,7/1/25,-0.682802428,-0.000112517,-0.011251673,18.47965584,0.003045201,0.304520067
22,3,7/1/25 1:00,Acid treatment,acid treatment,7/1/25,1.501054975,0.000247354,0.024735383,23.53336277,0.003877984,0.387798413
23,1,7/1/25 1:00,Acid treatment,acid treatment,7/1/25,0.516788644,8.52E-05,0.008515987,-2.995661229,-0.000493645,-0.049364499
23,2,7/1/25 2:00,Acid treatment,acid treatment,7/1/25,1.082523671,0.000178385,0.017838545,18.67951646,0.003078135,0.307813503
23,3,7/1/25 2:00,Acid treatment,acid treatment,7/1/25,3.229951066,0.000532253,0.053225283,25.89886579,0.004267787,0.426778746
24,1,7/1/25 3:00,Acid treatment,acid treatment,7/1/25,2.62935579,0.000433283,0.043328275,-1.422589012,-0.000234424,-0.023442368
24,2,7/1/25 3:00,Acid treatment,acid treatment,7/1/25,2.841010222,0.000468161,0.046816057,20.64128341,0.003401408,0.340140805
24,3,7/1/25 3:00,Acid treatment,acid treatment,7/1/25,3.720875468,0.000613151,0.061315062,29.37427906,0.004840489,0.484048919
25,1,7/1/25 4:00,Acid treatment,acid treatment,7/1/25,1.807929922,0.000297923,0.029792272,0.796053844,0.000131179,0.013117905
25,2,7/1/25 4:00,Acid treatment,acid treatment,7/1/25,3.828012584,0.000630805,0.063080539,23.97579481,0.003950891,0.395089102
25,3,7/1/25 5:00,Acid treatment,acid treatment,7/1/25,4.06211562,0.000669382,0.066938244,33.26577461,0.005481756,0.548175572
26,1,7/1/25 5:00,Acid treatment,acid treatment,7/1/25,2.337573857,0.000385201,0.038520098,2.868805733,0.000472741,0.04727409
26,2,7/1/25 5:00,Acid treatment,acid treatment,7/1/25,5.924484927,0.000976276,0.097627605,28.85204357,0.004754432,0.475443175
26,3,7/1/25 6:00,Acid treatment,acid treatment,7/1/25,4.634250951,0.000763663,0.076366271,37.61395789,0.006198278,0.61982783
28,1,7/1/25 6:00,Acid treatment,acid treatment,7/1/25,3.681134823,0.000606602,0.060660189,8.887514414,0.001464544,0.146454377
28,2,7/1/25 7:00,Acid treatment,acid treatment,7/1/25,6.621697135,0.001091167,0.109116732,41.39822563,0.006821875,0.682187512
28,3,7/1/25 7:00,Acid treatment,acid treatment,7/1/25,9.10743905,0.001500784,0.150078442,51.35564789,0.008462725,0.846272543
29,1,7/1/25 7:00,Acid treatment,acid treatment,7/1/25,6.090759231,0.001003676,0.100367584,13.77346144,0.002269683,0.226968264
29,2,7/1/25 8:00,Acid treatment,acid treatment,7/1/25,6.574734109,0.001083428,0.108342844,47.99644125,0.007909173,0.7909173
29,3,7/1/25 8:00,Acid treatment,acid treatment,7/1/25,10.3871736,0.001711668,0.171166759,61.10295422,0.010068951,1.006895143
30,1,7/1/25 9:00,Acid treatment,acid treatment,7/1/25,7.532723386,0.001241292,0.124129229,20.58520275,0.003392167,0.33921667
30,2,7/1/25 9:00,Acid treatment,acid treatment,7/1/25,6.369857397,0.001049667,0.104966749,54.468737,0.008975721,0.897572097
30,3,7/1/25 9:00,Acid treatment,acid treatment,7/1/25,12.00618379,0.001978459,0.197845886,72.29963291,0.011914015,1.191401466
31,1,7/1/25 10:00,Acid treatment,acid treatment,7/1/25,7.075435339,0.001165937,0.116593732,27.88928211,0.004595782,0.459578151
31,2,7/1/25 10:00,Acid treatment,acid treatment,7/1/25,6.699259998,0.001103949,0.110394865,61.0032957,0.010052529,1.005252904
31,3,7/1/25 11:00,Acid treatment,acid treatment,7/1/25,10.74151753,0.001770059,0.177005874,83.67348357,0.013788273,1.378827346
32,1,7/1/25 11:00,Acid treatment,acid treatment,7/1/25,8.475457271,0.001396642,0.139664225,35.66472842,0.005877071,0.587707129
32,2,7/1/25 11:00,Acid treatment,acid treatment,7/1/25,7.152188914,0.001178585,0.117858529,67.92902016,0.011193796,1.1193796
32,3,7/1/25 12:00,Acid treatment,acid treatment,7/1/25,7.835962435,0.001291262,0.129126204,92.96222356,0.015318934,1.531893385
34,1,7/1/25 12:00,Acid treatment,acid treatment,7/1/25,6.999835383,0.001153479,0.115347946,51.14002107,0.008427193,0.8427193
34,2,7/1/25 13:00,Acid treatment,acid treatment,7/1/25,5.637210111,0.000928937,0.0928937,80.71841918,0.013301318,1.330131828
34,3,7/1/25 13:00,Acid treatment,acid treatment,7/1/25,8.600624723,0.001417268,0.141726818,109.3988107,0.018027464,1.802746407
35,1,7/1/25 13:00,Acid treatment,acid treatment,7/1/25,6.424093092,0.001058605,0.105860481,57.85198531,0.009533235,0.953323514
35,2,7/1/25 14:00,Acid treatment,acid treatment,7/1/25,3.841165227,0.000632973,0.063297277,85.45760685,0.014082273,1.408227317
35,3,7/1/25 14:00,Acid treatment,acid treatment,7/1/25,6.682685152,0.001101217,0.110121733,117.0404657,0.019286707,1.928670682
36,1,7/1/25 15:00,Acid treatment,acid treatment,7/1/25,4.450956843,0.000733458,0.073345829,63.28951028,0.010429267,1.042926669
36,2,7/1/25 15:00,Acid treatment,acid treatment,7/1/25,1.764798339,0.000290815,0.029081521,88.26058863,0.014544167,1.454416716
36,3,7/1/25 15:00,Acid treatment,acid treatment,7/1/25,3.212579036,0.00052939,0.052939015,121.9880977,0.020102011,2.010201056
37,1,7/1/25 16:00,Acid treatment,acid treatment,7/1/25,2.123335028,0.000349897,0.034989728,66.57665621,0.010970944,1.097094447
37,2,7/1/25 16:00,Acid treatment,acid treatment,7/1/25,1.122136498,0.000184913,0.018491312,89.70405605,0.014782031,1.478203133
37,3,7/1/25 17:00,Acid treatment,acid treatment,7/1/25,2.294218627,0.000378057,0.037805661,124.7414966,0.020555734,2.055573395
38,1,7/1/25 17:00,Acid treatment,acid treatment,7/1/25,1.323096798,0.000218029,0.02180287,68.29987213,0.011254907,1.125490746
38,2,7/1/25 17:00,Acid treatment,acid treatment,7/1/25,1.136685007,0.000187311,0.018731052,90.8334668,0.014968143,1.496814315
38,3,7/1/25 18:00,Acid treatment,acid treatment,7/1/25,2.577094441,0.000424671,0.042467077,127.1771531,0.020957098,2.095709764
40,1,7/1/25 18:00,Acid treatment,acid treatment,7/1/25,1.087695186,0.000179238,0.017923765,70.71066411,0.011652174,1.16521738
40,2,7/1/25 19:00,Acid treatment,acid treatment,7/1/25,0.834284244,0.000137479,0.013747891,92.80443606,0.015292933,1.529293258
40,3,7/1/25 19:00,Acid treatment,acid treatment,7/1/25,2.308112738,0.000380346,0.038034618,132.0623603,0.021762115,2.176211459
41,1,7/1/25 19:00,Acid treatment,acid treatment,7/1/25,1.070821841,0.000176457,0.017645715,71.78992262,0.011830021,1.18300212
41,2,7/1/25 20:00,Acid treatment,acid treatment,7/1/25,0.888105393,0.000146348,0.014634792,93.66563087,0.015434846,1.543484599
41,3,7/1/25 20:00,Acid treatment,acid treatment,7/1/25,2.182646186,0.000359671,0.035967096,134.3077398,0.022132123,2.213212316
42,1,7/1/25 21:00,Acid treatment,acid treatment,7/1/25,0.934562795,0.000154003,0.015400348,72.79261494,0.011995252,1.199525152
42,2,7/1/25 21:00,Acid treatment,acid treatment,7/1/25,0.837136068,0.000137949,0.013794885,94.52825161,0.015576994,1.557699437
42,3,7/1/25 21:00,Acid treatment,acid treatment,7/1/25,1.849218001,0.000304726,0.030472645,136.3236718,0.022464322,2.246432186
43,1,7/1/25 22:00,Acid treatment,acid treatment,7/1/25,0.742608802,0.000122372,0.012237202,73.63120074,0.012133439,1.213343926
43,2,7/1/25 22:00,Acid treatment,acid treatment,7/1/25,0.733524845,0.000120875,0.012087511,95.31358206,0.015706406,1.570640635
43,3,7/1/25 23:00,Acid treatment,acid treatment,7/1/25,1.676419982,0.000276252,0.027625164,138.0864908,0.022754811,2.275481091
44,1,7/1/25 23:00,Acid treatment,acid treatment,7/1/25,0.58546301,9.65E-05,0.009647649,74.29523664,0.012242864,1.224286352
44,2,7/1/25 23:00,Acid treatment,acid treatment,7/1/25,0.45838745,7.55E-05,0.007553613,95.90953821,0.015804612,1.580461197
44,3,7/2/25,Acid treatment,acid treatment,7/2/25,1.593448611,0.000262579,0.026257907,139.7214251,0.023024226,2.302422626
46,1,7/2/25,Acid treatment,acid treatment,7/2/25,0.339768096,5.60E-05,0.005598925,75.22046775,0.012395329,1.239532926
46,2,7/2/25 1:00,Acid treatment,acid treatment,7/2/25,0.714150086,0.000117682,0.01176824,97.08207574,0.015997831,1.599783051
46,3,7/2/25 1:00,Acid treatment,acid treatment,7/2/25,4.11103969,0.000677444,0.067744448,145.4259134,0.02396425,2.396424981
47,1,7/2/25 1:00,Acid treatment,acid treatment,7/2/25,1.262101613,0.000207978,0.02079775,76.0214026,0.012527313,1.252731263
47,2,7/2/25 2:00,Acid treatment,acid treatment,7/2/25,1.854345931,0.000305571,0.030557146,98.36632375,0.016209457,1.620945744
47,3,7/2/25 2:00,Acid treatment,acid treatment,7/2/25,2.37596035,0.000391527,0.039152656,148.6694135,0.024498735,2.449873533
48,1,7/2/25 3:00,Acid treatment,acid treatment,7/2/25,0.763200097,0.000125765,0.012576519,77.03405346,0.012694184,1.269418398
48,2,7/2/25 3:00,Acid treatment,acid treatment,7/2/25,0.364372992,6.00E-05,0.006004381,99.47568321,0.016392265,1.639226508
48,3,7/2/25 3:00,Acid treatment,acid treatment,7/2/25,4.395624011,0.00072434,0.072434018,152.0552056,0.025056669,2.505666869
49,1,7/2/25 4:00,Acid treatment,acid treatment,7/2/25,1.684544739,0.00027759,0.027759049,78.25792588,0.012895862,1.289586182
49,2,7/2/25 4:00,Acid treatment,acid treatment,7/2/25,4.006301995,0.000660185,0.06601851,101.6610207,0.01675238,1.675237953
49,3,7/2/25 5:00,Acid treatment,acid treatment,7/2/25,5.098004963,0.000840083,0.084008318,156.8020201,0.02583888,2.583888037
50,1,7/2/25 5:00,Acid treatment,acid treatment,7/2/25,1.763456387,0.000290594,0.029059408,79.98192644,0.013179954,1.317995411
50,2,7/2/25 5:00,Acid treatment,acid treatment,7/2/25,8.040986972,0.001325047,0.132504735,107.6846652,0.017744996,1.774499576
50,3,7/2/25 6:00,Acid treatment,acid treatment,7/2/25,6.649686077,0.00109578,0.109577952,162.6758656,0.026806812,2.680681173
52,1,7/2/25 6:00,Acid treatment,acid treatment,7/2/25,4.124308651,0.000679631,0.067963103,85.86969148,0.014150179,1.415017921
52,2,7/2/25 7:00,Acid treatment,acid treatment,7/2/25,5.063185675,0.000834345,0.083434543,120.7888378,0.019904389,1.990438853
52,3,7/2/25 7:00,Acid treatment,acid treatment,7/2/25,5.4105471,0.000891586,0.089158596,174.7360988,0.028794177,2.879417721
53,1,7/2/25 7:00,Acid treatment,acid treatment,7/2/25,2.883082525,0.000475094,0.047509352,89.37338706,0.014727541,1.472754149
53,2,7/2/25 8:00,Acid treatment,acid treatment,7/2/25,3.33961085,0.000550323,0.05503233,124.9902361,0.020596723,2.05967229
53,3,7/2/25 8:00,Acid treatment,acid treatment,7/2/25,6.417139495,0.001057459,0.105745895,180.6499421,0.0297687,2.976869966
54,1,7/2/25 9:00,Acid treatment,acid treatment,7/2/25,2.318578682,0.000382071,0.038207083,91.97421767,0.015156124,1.515612366
54,2,7/2/25 9:00,Acid treatment,acid treatment,7/2/25,5.053460588,0.000832743,0.083274287,129.1867718,0.021288256,2.128825598
54,3,7/2/25 9:00,Acid treatment,acid treatment,7/2/25,6.709443891,0.001105627,0.110562681,187.2132338,0.030850243,3.085024255
55,1,7/2/25 10:00,Acid treatment,acid treatment,7/2/25,2.831037247,0.000466517,0.046651716,94.54902563,0.015580418,1.558041766
55,2,7/2/25 10:00,Acid treatment,acid treatment,7/2/25,4.984077864,0.00082131,0.082130952,134.205541,0.022115282,2.211528217
55,3,7/2/25 11:00,Acid treatment,acid treatment,7/2/25,8.912270152,0.001468623,0.146862319,195.0240908,0.032137368,3.213736755
56,1,7/2/25 11:00,Acid treatment,acid treatment,7/2/25,4.375290272,0.000720989,0.072098945,98.15218939,0.016174171,1.617417096
56,2,7/2/25 11:00,Acid treatment,acid treatment,7/2/25,2.56392729,0.000422501,0.0422501,137.9795436,0.022737187,2.273718743
56,3,7/2/25 12:00,Acid treatment,acid treatment,7/2/25,2.073922246,0.000341755,0.034175471,200.517187,0.033042556,3.30425565
58,1,7/2/25 12:00,Acid treatment,acid treatment,7/2/25,1.857914167,0.000306159,0.030615946,104.3853938,0.01720132,1.720131987
58,2,7/2/25 13:00,Acid treatment,acid treatment,7/2/25,1.591048777,0.000262184,0.026218361,142.1345197,0.023421872,2.342187204
58,3,7/2/25 13:00,Acid treatment,acid treatment,7/2/25,2.652964862,0.000437173,0.043717321,205.2440741,0.033821484,3.382148441
59,1,7/2/25 13:00,Acid treatment,acid treatment,7/2/25,1.649392671,0.000271798,0.02717979,106.1390472,0.017490299,1.749029855
59,2,7/2/25 14:00,Acid treatment,acid treatment,7/2/25,0.829194052,0.00013664,0.013664011,143.3446411,0.023621284,2.36212839
59,3,7/2/25 14:00,Acid treatment,acid treatment,7/2/25,0.926359669,0.000152652,0.015265171,207.0337364,0.034116397,3.411639687
60,1,7/2/25 15:00,Acid treatment,acid treatment,7/2/25,0.732527346,0.000120711,0.012071073,107.3300073,0.017686553,1.768655286
60,2,7/2/25 15:00,Acid treatment,acid treatment,7/2/25,0.319703781,5.27E-05,0.005268292,143.91909,0.023715945,2.371594542
60,3,7/2/25 15:00,Acid treatment,acid treatment,7/2/25,0.562351255,9.27E-05,0.009266798,207.7780919,0.034239057,3.423905671
61,1,7/2/25 16:00,Acid treatment,acid treatment,7/2/25,0.426040655,7.02E-05,0.007020581,107.9092913,0.017782011,1.778201114
61,2,7/2/25 16:00,Acid treatment,acid treatment,7/2/25,0.100968831,1.66E-05,0.001663832,144.1294263,0.023750606,2.375060603
61,3,7/2/25 17:00,Acid treatment,acid treatment,7/2/25,0.35051638,5.78E-05,0.005776042,208.2345257,0.034314271,3.431427092
62,1,7/2/25 17:00,Acid treatment,acid treatment,7/2/25,0.299116491,4.93E-05,0.004929041,108.2718698,0.017841759,1.784175925
62,2,7/2/25 17:00,Acid treatment,acid treatment,7/2/25,0.130370875,2.15E-05,0.002148338,144.2450962,0.023769667,2.376966688
62,3,7/2/25 18:00,Acid treatment,acid treatment,7/2/25,0.419098016,6.91E-05,0.006906176,208.6193329,0.034377682,3.437768201
64,1,7/2/25 18:00,Acid treatment,acid treatment,7/2/25,0.182596694,3.01E-05,0.00300895,108.753583,0.017921139,1.792113915
64,2,7/2/25 19:00,Acid treatment,acid treatment,7/2/25,0.168803482,2.78E-05,0.002781656,144.5442705,0.023818967,2.381896682
64,3,7/2/25 19:00,Acid treatment,acid treatment,7/2/25,0.390268236,6.43E-05,0.0064311,209.4286991,0.034511055,3.451105476
65,1,7/2/25 19:00,Acid treatment,acid treatment,7/2/25,0.222434556,3.67E-05,0.003665425,108.9560986,0.017954511,1.795451102
65,2,7/2/25 20:00,Acid treatment,acid treatment,7/2/25,0.171199833,2.82E-05,0.002821145,144.7142722,0.023846981,2.384698083
65,3,7/2/25 20:00,Acid treatment,acid treatment,7/2/25,0.371814459,6.13E-05,0.006127006,209.8097405,0.034573845,3.457384529
66,1,7/2/25 21:00,Acid treatment,acid treatment,7/2/25,0.238917864,3.94E-05,0.003937048,109.1867749,0.017992523,1.799252338
66,2,7/2/25 21:00,Acid treatment,acid treatment,7/2/25,0.160143857,2.64E-05,0.002638957,144.879944,0.023874281,2.387428134
66,3,7/2/25 21:00,Acid treatment,acid treatment,7/2/25,0.144300687,2.38E-05,0.002377883,210.0677981,0.03461637,3.461636974
67,1,7/2/25 22:00,Acid treatment,acid treatment,7/2/25,0.144114897,2.37E-05,0.002374821,109.3782912,0.018024083,1.802408273
67,2,7/2/25 22:00,Acid treatment,acid treatment,7/2/25,0.068179785,1.12E-05,0.001123512,144.9941059,0.023893094,2.389309368
67,3,7/2/25 23:00,Acid treatment,acid treatment,7/2/25,0.169812991,2.80E-05,0.002798291,210.2248549,0.034642251,3.464225061
68,1,7/2/25 23:00,Acid treatment,acid treatment,7/2/25,-0.017306778,-2.85E-06,-0.000285193,109.4416953,0.018034531,1.803453087
68,2,7/2/25 23:00,Acid treatment,acid treatment,7/2/25,0.053973321,8.89E-06,0.000889408,145.0551824,0.023903158,2.390315828
68,3,7/3/25,Acid treatment,acid treatment,7/3/25,0.471837528,7.78E-05,0.007775253,210.5456802,0.034695118,3.469511833
70,1,7/3/25,Acid treatment,acid treatment,7/3/25,-0.020709264,-3.41E-06,-0.000341261,109.4036792,0.018028266,1.802826633
70,2,7/3/25 1:00,Acid treatment,acid treatment,7/3/25,0.302411843,4.98E-05,0.004983344,145.4115676,0.023961886,2.39618858
70,3,7/3/25 1:00,Acid treatment,acid treatment,7/3/25,1.686287556,0.000277878,0.027787769,212.7038052,0.035050749,3.505074854
71,1,7/3/25 1:00,Acid treatment,acid treatment,7/3/25,0.542314418,8.94E-05,0.008936618,109.6644818,0.018071243,1.807124312
71,2,7/3/25 2:00,Acid treatment,acid treatment,7/3/25,0.969190368,0.00015971,0.015970964,146.0473687,0.024066657,2.406665734
71,3,7/3/25 2:00,Acid treatment,acid treatment,7/3/25,2.170912724,0.000357737,0.035773745,214.6324054,0.035368556,3.536855611
72,1,7/3/25 3:00,Acid treatment,acid treatment,7/3/25,1.326808867,0.00021864,0.021864039,110.5990435,0.018225246,1.822524641
72,2,7/3/25 3:00,Acid treatment,acid treatment,7/3/25,1.302919104,0.000214704,0.021470368,147.1834234,0.024253864,2.4253864
72,3,7/3/25 3:00,Acid treatment,acid treatment,7/3/25,2.490924267,0.000410471,0.041047108,216.9633239,0.03575266,3.575266037
73,1,7/3/25 4:00,Acid treatment,acid treatment,7/3/25,1.120291116,0.000184609,0.018460903,111.8225935,0.018426871,1.842687112
73,2,7/3/25 4:00,Acid treatment,acid treatment,7/3/25,1.752180056,0.000288736,0.028873589,148.710973,0.024505584,2.450558378
73,3,7/3/25 5:00,Acid treatment,acid treatment,7/3/25,2.826715242,0.000465805,0.046580495,219.6221436,0.036190798,3.619079838
74,1,7/3/25 5:00,Acid treatment,acid treatment,7/3/25,0.68892321,0.000113525,0.011352535,112.7272006,0.018575938,1.85759383
74,2,7/3/25 5:00,Acid treatment,acid treatment,7/3/25,1.944971923,0.000320505,0.032050542,150.559549,0.024810204,2.481020444
74,3,7/3/25 6:00,Acid treatment,acid treatment,7/3/25,3.662653612,0.000603556,0.060355644,222.8668281,0.036725479,3.672547908
76,1,7/3/25 6:00,Acid treatment,acid treatment,7/3/25,1.367186156,0.000225294,0.022529403,114.78331,0.018914758,1.891475769
76,2,7/3/25 7:00,Acid treatment,acid treatment,7/3/25,2.503315892,0.000412513,0.041251305,155.0078368,0.025543223,2.554322291
76,3,7/3/25 7:00,Acid treatment,acid treatment,7/3/25,3.85784127,0.000635721,0.063572076,230.3873229,0.037964756,3.796475627
77,1,7/3/25 7:00,Acid treatment,acid treatment,7/3/25,1.447672486,0.000238557,0.023855711,116.1907393,0.019146683,1.914668326
77,2,7/3/25 8:00,Acid treatment,acid treatment,7/3/25,2.197494382,0.000362118,0.036211775,157.3582419,0.025930538,2.593053831
77,3,7/3/25 8:00,Acid treatment,acid treatment,7/3/25,4.194079395,0.000691128,0.069112831,234.4132833,0.038628181,3.862818081
78,1,7/3/25 9:00,Acid treatment,acid treatment,7/3/25,1.416553701,0.000233429,0.023342915,117.6228524,0.019382676,1.938267638
78,2,7/3/25 9:00,Acid treatment,acid treatment,7/3/25,1.89494317,0.000312261,0.031226135,159.4044607,0.026267728,2.626772785
78,3,7/3/25 9:00,Acid treatment,acid treatment,7/3/25,4.201262666,0.000692312,0.069231202,238.6109543,0.039319901,3.931990098
79,1,7/3/25 10:00,Acid treatment,acid treatment,7/3/25,1.490588968,0.000245629,0.024562917,119.0764237,0.019622206,1.962220554
