Flux ID,V,A,Time,Concentration
101cont010725,191.3,0.5625,0,0.381846063
101cont010725,191.3,0.5625,0.471666667,0.363276042
101cont010725,191.3,0.5625,1.063055556,0.362115416
101cont010725,191.3,0.5625,1.5575,0.373721679
102acid010725,188.4,0.5625,0,0.356312284
102acid010725,188.4,0.5625,0.455833333,0.372561053
102acid010725,188.4,0.5625,1.045555555,0.360954789
102acid010725,188.4,0.5625,1.541944444,0.410861722
103cont010725,191.3,0.5625,0,0.329617878
103cont010725,191.3,0.5625,0.441944444,0.358633537
103cont010725,191.3,0.5625,1.0275,0.355151658
103cont010725,191.3,0.5625,1.526388889,0.352830405
104acid010725,189.6,0.5625,0,0.350509152
104acid010725,189.6,0.5625,0.428888889,0.384167316
104acid010725,189.6,0.5625,1.013333333,0.386488569
104acid010725,189.6,0.5625,1.514722222,0.381846063
105cont010725,190.7,0.5625,0,0.35747291
105cont010725,190.7,0.5625,0.414166667,0.395773579
105cont010725,190.7,0.5625,0.996388889,0.399255458
105cont010725,190.7,0.5625,1.489166667,0.420146732
106acid010725,192.9,0.5625,0,0.372561053
106acid010725,192.9,0.5625,0.405555556,0.367918547
106acid010725,192.9,0.5625,0.977777778,0.377203558
106acid010725,192.9,0.5625,1.470833333,0.365597295
101cont030725,191.3,0.5625,0,0.364494821
101cont030725,191.3,0.5625,0.471666667,0.36686938
101cont030725,191.3,0.5625,1.063055556,0.385865853
101cont030725,191.3,0.5625,1.5575,0.39298953
102acid030725,188.4,0.5625,0,0.398925928
102acid030725,188.4,0.5625,0.455833333,0.39180225
102acid030725,188.4,0.5625,1.045555555,0.387053132
102acid030725,188.4,0.5625,1.541944444,0.408424164
103cont030725,191.3,0.5625,0,0.371618498
103cont030725,191.3,0.5625,0.441944444,0.409611443
103cont030725,191.3,0.5625,1.0275,0.402487766
103cont030725,191.3,0.5625,1.526388889,0.401300487
104acid030725,189.6,0.5625,0,0.385865853
104acid030725,189.6,0.5625,0.428888889,0.390614971
104acid030725,189.6,0.5625,1.013333333,0.387053132
104acid030725,189.6,0.5625,1.514722222,0.381116734
105cont030725,190.7,0.5625,0,0.375180337
105cont030725,190.7,0.5625,0.414166667,0.390614971
105cont030725,190.7,0.5625,0.996388889,0.406049605
105cont030725,190.7,0.5625,1.489166667,0.406049605
106acid030725,192.9,0.5625,0,0.370431218
106acid030725,192.9,0.5625,0.405555556,0.378742175
106acid030725,192.9,0.5625,0.977777778,0.385865853
106acid030725,192.9,0.5625,1.470833333,0.369243939
101cont060725,191.3,0.5625,0,0.384167316
101cont060725,191.3,0.5625,0.456666667,0.379524811
101cont060725,191.3,0.5625,0.933888889,0.406219216
101cont060725,191.3,0.5625,1.425,0.415504227
102acid060725,188.4,0.5625,0,0.393452327
102acid060725,188.4,0.5625,0.433888889,0.415504227
102acid060725,188.4,0.5625,0.915277778,0.414343601
102acid060725,188.4,0.5625,1.412777778,0.399255458
103cont060725,191.3,0.5625,0,0.3922917
103cont060725,191.3,0.5625,0.430833333,0.381846063
103cont060725,191.3,0.5625,0.914166667,0.373721679
103cont060725,191.3,0.5625,1.410833333,0.384167316
104acid060725,189.6,0.5625,0,0.380685437
104acid060725,189.6,0.5625,0.419444445,0.374882305
