date,time,temp,pres,prec
30/06/2025,0,12.1,1012.8,0
30/06/2025,1,11.8,1012.7,0
30/06/2025,2,11.6,1012.6,0
30/06/2025,3,11.3,1012.6,0
30/06/2025,4,11.2,1012.8,0
30/06/2025,5,11.8,1013.2,0
30/06/2025,6,13.2,1013.5,0
30/06/2025,7,13.7,1013.7,0
30/06/2025,8,14.6,1014.3,0
30/06/2025,9,16.1,1014.5,0
30/06/2025,10,17.3,1014.6,0
30/06/2025,11,18.1,1014.6,0
30/06/2025,12,18.9,1014.6,0
30/06/2025,13,19.5,1014.6,0
30/06/2025,14,20.2,1014.3,0
30/06/2025,15,20.5,1013.8,0
30/06/2025,16,20.6,1013.5,0
30/06/2025,17,20.4,1013.3,0
30/06/2025,18,20.2,1012.9,0
30/06/2025,19,19.9,1012.7,0
30/06/2025,20,19,1012.5,0
30/06/2025,21,17,1012.4,0
30/06/2025,22,14.8,1012,0
30/06/2025,23,12.9,1011.8,0
1/7/25,0,12.5,1011.4,0
1/7/25,1,12.3,1011.2,0
1/7/25,2,12.5,1010.9,0
1/7/25,3,12.6,1010.5,0
1/7/25,4,12.9,1010.5,0
1/7/25,5,14.1,1010.6,0
1/7/25,6,16,1010.7,0
1/7/25,7,18.5,1011,0
1/7/25,8,20.6,1010.9,0
1/7/25,9,22.2,1010.6,0
1/7/25,10,23.7,1010.6,0
1/7/25,11,24.6,1010.3,0
1/7/25,12,25.9,1010,0
1/7/25,13,26.8,1009.7,0
1/7/25,14,27.6,1009.5,0
1/7/25,15,28,1009,0
1/7/25,16,28.2,1008.6,0
1/7/25,17,27.8,1008.4,0
1/7/25,18,27.8,1008.3,0
1/7/25,19,25.6,1008.1,0
1/7/25,20,23.2,1007.9,0
1/7/25,21,21.3,1008,0
1/7/25,22,20.4,1007.6,0
1/7/25,23,19.8,1007.6,0
2/7/25,0,19.2,1007.1,0
2/7/25,1,18.6,1006.6,0
2/7/25,2,17.9,1006.1,0
2/7/25,3,17.4,1005.8,0
